"parts"	"mor"
"動詞"	"教える"
"名詞"	"の"
"助詞"	"か"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"副詞"	"何だか"
"形容詞"	"気味が悪い"
"動詞"	"る"
"動詞"	"くる"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"名刺"
"助詞"	"を"
"動詞"	"出す"
"助動詞"	"た"
"名詞"	"校長"
"名詞"	"室"
"助詞"	"へ"
"動詞"	"通す"
"助動詞"	"た"
"記号"	"。"
"名詞"	"校長"
"助詞"	"は"
"接頭詞"	"薄"
"名詞"	"髯"
"助詞"	"の"
"動詞"	"ある"
"記号"	"、"
"名詞"	"色"
"助詞"	"の"
"形容詞"	"黒い"
"記号"	"、"
"名詞"	"目"
"助詞"	"の"
"連体詞"	"大きな"
"名詞"	"狸"
"助詞"	"の"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"男"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"助詞"	"や"
"助詞"	"に"
"動詞"	"もったいぶる"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"副詞"	"まあ"
"動詞"	"精出す"
"助詞"	"て"
"名詞"	"勉強"
"動詞"	"する"
"助詞"	"て"
"動詞"	"くれる"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"記号"	"、"
"形容詞"	"恭しい"
"連体詞"	"大きな"
"名詞"	"印"
"助詞"	"の"
"名詞"	"捺"
"動詞"	"く"
"助動詞"	"た"
"記号"	"、"
"名詞"	"辞令"
"助詞"	"を"
"動詞"	"渡す"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"この"
"名詞"	"辞令"
"助詞"	"は"
"名詞"	"東京"
"助詞"	"へ"
"動詞"	"帰る"
"名詞"	"とき"
"動詞"	"丸める"
"助詞"	"て"
"名詞"	"海"
"助詞"	"の"
"名詞"	"中"
"助詞"	"へ"
"動詞"	"抛る"
"動詞"	"込む"
"助詞"	"で"
"動詞"	"しまう"
"助動詞"	"た"
"記号"	"。"
"名詞"	"校長"
"助詞"	"は"
"名詞"	"今"
"助詞"	"に"
"名詞"	"職員"
"助詞"	"に"
"名詞"	"紹介"
"動詞"	"する"
"助詞"	"て"
"動詞"	"やる"
"助詞"	"から"
"記号"	"、"
"副詞"	"一々"
"連体詞"	"その"
"名詞"	"人"
"助詞"	"に"
"連体詞"	"この"
"名詞"	"辞令"
"助詞"	"を"
"動詞"	"見せる"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"動詞"	"聞かす"
"助動詞"	"た"
"記号"	"。"
"名詞"	"余計"
"助動詞"	"だ"
"名詞"	"手数"
"助動詞"	"だ"
"記号"	"。"
"連体詞"	"そんな"
"名詞"	"面倒"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"を"
"動詞"	"する"
"助詞"	"より"
"連体詞"	"この"
"名詞"	"辞令"
"助詞"	"を"
"名詞"	"三"
"名詞"	"日間"
"名詞"	"職員"
"名詞"	"室"
"助詞"	"へ"
"動詞"	"張り付ける"
"名詞"	"方"
"助詞"	"が"
"名詞"	"まし"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"教員"
"助詞"	"が"
"名詞"	"控"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"揃う"
"助詞"	"に"
"助詞"	"は"
"名詞"	"一"
"名詞"	"時間"
"名詞"	"目"
"助詞"	"の"
"名詞"	"喇叭"
"助詞"	"が"
"動詞"	"鳴る"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"は"
"動詞"	"なる"
"助動詞"	"ぬ"
"記号"	"。"
"名詞"	"大分"
"名詞"	"時間"
"助詞"	"が"
"動詞"	"ある"
"記号"	"。"
"名詞"	"校長"
"助詞"	"は"
"名詞"	"時計"
"助詞"	"を"
"動詞"	"出す"
"助詞"	"て"
"動詞"	"見る"
"助詞"	"て"
"記号"	"、"
"副詞"	"追々"
"副詞"	"ゆるり"
"助詞"	"と"
"動詞"	"話す"
"名詞"	"つもり"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"副詞"	"まず"
"名詞"	"大体"
"助詞"	"の"
"名詞"	"事"
"助詞"	"を"
"動詞"	"呑み込む"
"助詞"	"で"
"動詞"	"おく"
"助詞"	"て"
"動詞"	"もらう"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"記号"	"、"
"接続詞"	"それから"
"名詞"	"教育"
"助詞"	"の"
"名詞"	"精神"
"助詞"	"について"
"形容詞"	"長い"
"名詞"	"お談義"
"助詞"	"を"
"動詞"	"聞かす"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"副詞"	"無論"
"名詞"	"いい加減"
"助詞"	"に"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"途中"
"助詞"	"から"
"名詞"	"これ"
"助詞"	"は"
"動詞"	"飛ぶ"
"助動詞"	"だ"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"来る"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"校長"
"助詞"	"の"
"動詞"	"云う"
"名詞"	"よう"
"助詞"	"に"
"助詞"	"は"
"副詞"	"とても"
"動詞"	"出来る"
"助動詞"	"ない"
"記号"	"。"
"動詞"	"おれる"
"動詞"	"みる"
"助動詞"	"た"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"無鉄砲"
"助動詞"	"だ"
"名詞"	"もの"
"助詞"	"を"
"動詞"	"つる"
"動詞"	"まえる"
"助詞"	"て"
"記号"	"、"
"名詞"	"生徒"
"助詞"	"の"
"名詞"	"模範"
"助詞"	"に"
"動詞"	"なれる"
"助詞"	"の"
"記号"	"、"
"名詞"	"一"
"名詞"	"校"
"助詞"	"の"
"名詞"	"師表"
"助詞"	"と"
"動詞"	"仰ぐ"
"動詞"	"れる"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"は"
"動詞"	"いく"
"助動詞"	"ん"
"助詞"	"の"
"記号"	"、"
"名詞"	"学問"
"名詞"	"以外"
"助詞"	"に"
"名詞"	"個人"
"助詞"	"の"
"名詞"	"徳化"
"助詞"	"を"
"動詞"	"及ぼす"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"は"
"名詞"	"教育者"
"助詞"	"に"
"動詞"	"なれる"
"助動詞"	"ない"
"助詞"	"の"
"記号"	"、"
"助詞"	"と"
"接頭詞"	"無"
"副詞"	"暗に"
"名詞"	"法外"
"助動詞"	"だ"
"名詞"	"注文"
"助詞"	"を"
"動詞"	"する"
"記号"	"。"
"連体詞"	"そんな"
"形容詞"	"えらい"
"名詞"	"人"
"助詞"	"が"
"名詞"	"月給"
"名詞"	"四"
"名詞"	"十"
"名詞"	"円"
"助詞"	"で"
"副詞"	"遥々"
"連体詞"	"こんな"
"名詞"	"田舎"
"助詞"	"へ"
"動詞"	"くる"
"名詞"	"もん"
"助詞"	"か"
"記号"	"。"
"名詞"	"人間"
"助詞"	"は"
"名詞"	"大概"
"動詞"	"似る"
"助動詞"	"た"
"名詞"	"もん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"腹"
"助詞"	"が"
"動詞"	"立つ"
"助詞"	"ば"
"名詞"	"喧嘩"
"助詞"	"の"
"名詞"	"一つ"
"助詞"	"ぐらい"
"助詞"	"は"
"名詞"	"誰"
"助詞"	"でも"
"動詞"	"する"
"助動詞"	"だ"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"動詞"	"てる"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"連体詞"	"この"
"名詞"	"様子"
"助詞"	"じゃ"
"副詞"	"めったに"
"名詞"	"口"
"助詞"	"も"
"動詞"	"聞ける"
"助動詞"	"ない"
"記号"	"、"
"名詞"	"散歩"
"助詞"	"も"
"動詞"	"出来る"
"助動詞"	"ない"
"記号"	"。"
"連体詞"	"そんな"
"形容詞"	"むずかしい"
"名詞"	"役"
"助動詞"	"だ"
"動詞"	"雇う"
"名詞"	"前"
"助詞"	"に"
"名詞"	"これ"
"名詞"	"これ"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"話す"
"助詞"	"が"
"形容詞"	"いい"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"嘘"
"助詞"	"を"
"動詞"	"つく"
"名詞"	"の"
"助詞"	"が"
"名詞"	"嫌い"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"仕方がない"
"記号"	"、"
"動詞"	"だます"
"動詞"	"れる"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"名詞"	"の"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"あきらめる"
"助詞"	"て"
"記号"	"、"
"動詞"	"思い切る"
"形容詞"	"よい"
"記号"	"、"
"名詞"	"ここ"
"助詞"	"で"
"動詞"	"断わる"
"助詞"	"て"
"動詞"	"帰る"
"動詞"	"ちまう"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"宿屋"
"助詞"	"へ"
"名詞"	"五"
"名詞"	"円"
"動詞"	"やる"
"助動詞"	"た"
"助詞"	"から"
"名詞"	"財布"
"助詞"	"の"
"名詞"	"中"
"助詞"	"に"
"助詞"	"は"
"名詞"	"九"
"名詞"	"円"
"名詞"	"なにがし"
"助詞"	"しか"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"九"
"名詞"	"円"
"助詞"	"じゃ"
"名詞"	"東京"
"助詞"	"まで"
"助詞"	"は"
"動詞"	"帰れる"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"茶代"
"助詞"	"なんか"
"動詞"	"やる"
"助動詞"	"ない"
"助詞"	"ば"
"形容詞"	"よい"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"惜しい"
"名詞"	"事"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"九"
"名詞"	"円"
"助詞"	"だって"
"記号"	"、"
"副詞"	"どうか"
"動詞"	"なる"
"助動詞"	"ない"
"名詞"	"事"
"助詞"	"は"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"旅費"
"助詞"	"は"
"動詞"	"足りる"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"名詞"	"嘘"
"助詞"	"を"
"動詞"	"つく"
"名詞"	"憑坐"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"思う"
"助詞"	"て"
"記号"	"、"
"副詞"	"到底"
"名詞"	"あなた"
"助詞"	"の"
"動詞"	"おっしゃる"
"名詞"	"通り"
"助詞"	"にゃ"
"記号"	"、"
"動詞"	"出来る"
"助動詞"	"ます"
"助動詞"	"ん"
"記号"	"、"
"連体詞"	"この"
"名詞"	"辞令"
"助詞"	"は"
"動詞"	"返す"
"助動詞"	"ます"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"校長"
"助詞"	"は"
"名詞"	"狸"
"助詞"	"の"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"眼"
"助詞"	"を"
"動詞"	"ぱちつかせる"
"助詞"	"て"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"副詞"	"やがて"
"記号"	"、"
"名詞"	"今"
"助詞"	"の"
"名詞"	"はた"
"助動詞"	"だ"
"名詞"	"希望"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"、"
"名詞"	"あなた"
"助詞"	"が"
"名詞"	"希望"
"名詞"	"通り"
"動詞"	"出来る"
"助動詞"	"ない"
"名詞"	"の"
"助詞"	"は"
"副詞"	"よく"
"動詞"	"知る"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"から"
"名詞"	"心配"
"動詞"	"する"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"いい"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"ながら"
"動詞"	"笑う"
"助動詞"	"た"
"記号"	"。"
"連体詞"	"その"
"助詞"	"くらい"
"副詞"	"よく"
"動詞"	"知る"
"動詞"	"てる"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"始め"
"助詞"	"から"
"名詞"	"威嚇"
"動詞"	"する"
"助動詞"	"ない"
"助詞"	"ば"
"形容詞"	"いい"
"助詞"	"のに"
"記号"	"。"
"副詞"	"そう"
"記号"	"、"
"副詞"	"こう"
"動詞"	"する"
"名詞"	"内"
"助詞"	"に"
"名詞"	"喇叭"
"助詞"	"が"
"動詞"	"鳴る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"教場"
"助詞"	"の"
"名詞"	"方"
"助詞"	"が"
"名詞"	"急"
"助詞"	"に"
"副詞"	"がやがや"
"動詞"	"する"
"記号"	"。"
"副詞"	"もう"
"名詞"	"教員"
"助詞"	"も"
"名詞"	"控"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"揃う"
"助動詞"	"ます"
"助動詞"	"た"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"から"
"記号"	"、"
"名詞"	"校長"
"助詞"	"に"
"名詞"	"尾"
"動詞"	"いる"
"助詞"	"て"
"名詞"	"教員"
"名詞"	"控"
"名詞"	"所"
"助詞"	"へ"
"動詞"	"はいる"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"広い"
"形容詞"	"細長い"
"名詞"	"部屋"
"助詞"	"の"
"名詞"	"周囲"
"助詞"	"に"
"名詞"	"机"
"助詞"	"を"
"動詞"	"並べる"
"助詞"	"て"
"名詞"	"みんな"
"名詞"	"腰"
"助詞"	"を"
"動詞"	"かける"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"が"
"動詞"	"はいる"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"て"
"記号"	"、"
"名詞"	"みんな"
"動詞"	"申し合せる"
"助動詞"	"た"
"名詞"	"よう"
"助詞"	"に"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"見世物"
"助詞"	"じゃ"
"助動詞"	"ある"
"助動詞"	"まい"
"助詞"	"し"
"記号"	"。"
"名詞"	"それ"
"助詞"	"から"
"動詞"	"申し付ける"
"動詞"	"られる"
"助動詞"	"た"
"名詞"	"通り"
"名詞"	"一人一人"
"助詞"	"の"
"名詞"	"前"
"助詞"	"へ"
"動詞"	"行く"
"助詞"	"て"
"名詞"	"辞令"
"助詞"	"を"
"名詞"	"出し手"
"名詞"	"挨拶"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"大概"
"助詞"	"は"
"名詞"	"椅子"
"助詞"	"を"
"動詞"	"離れる"
"助詞"	"て"
"名詞"	"腰"
"助詞"	"を"
"動詞"	"かがめる"
"助詞"	"ばかり"
"助動詞"	"だ"
"助動詞"	"ある"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"名詞"	"念"
"助詞"	"の"
"動詞"	"入る"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"は"
"動詞"	"差し出す"
"助動詞"	"た"
"名詞"	"辞令"
"助詞"	"を"
"動詞"	"受け取る"
"助詞"	"て"
"副詞"	"一応"
"名詞"	"拝見"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"名詞"	"それ"
"助詞"	"を"
"形容詞"	"恭しい"
"名詞"	"返却"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"副詞"	"まるで"
"名詞"	"宮芝居"
"助詞"	"の"
"名詞"	"真似"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"十"
"名詞"	"五"
"名詞"	"人"
"名詞"	"目"
"助詞"	"に"
"名詞"	"体操"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"へ"
"助詞"	"と"
"動詞"	"廻る"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"に"
"助詞"	"は"
"記号"	"、"
"連体詞"	"同じ"
"名詞"	"事"
"助詞"	"を"
"名詞"	"何"
"動詞"	"返る"
"助詞"	"も"
"動詞"	"やる"
"助詞"	"ので"
"副詞"	"少々"
"形容詞"	"じれったい"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"向う"
"助詞"	"は"
"名詞"	"一"
"名詞"	"度"
"助詞"	"で"
"動詞"	"済む"
"記号"	"。"
"名詞"	"こっち"
"助詞"	"は"
"連体詞"	"同じ"
"名詞"	"所作"
"助詞"	"を"
"名詞"	"十五"
"動詞"	"返る"
"動詞"	"繰り返す"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"副詞"	"少し"
"助詞"	"は"
"名詞"	"ひと"
"助詞"	"の"
"名詞"	"了見"
"助詞"	"も"
"動詞"	"察す"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"が"
"形容詞"	"いい"
"記号"	"。"
"名詞"	"挨拶"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"うち"
"助詞"	"に"
"名詞"	"教頭"
"助詞"	"の"
"名詞"	"なにがし"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"の"
"助詞"	"が"
"動詞"	"居る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"これ"
"助詞"	"は"
"名詞"	"文学"
"名詞"	"士"
"助動詞"	"だ"
"名詞"	"そうだ"
"記号"	"。"
"名詞"	"文学"
"名詞"	"士"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"ば"
"名詞"	"大学"
"助詞"	"の"
"名詞"	"卒業生"
"助動詞"	"だ"
"助詞"	"から"
"形容詞"	"えらい"
"名詞"	"人"
"助動詞"	"だ"
"名詞"	"ん"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"名詞"	"妙"
"助詞"	"に"
"名詞"	"女"
"助詞"	"の"
"名詞"	"よう"
"助動詞"	"だ"
"形容詞"	"優しい"
"名詞"	"声"
"助詞"	"を"
"動詞"	"出す"
"名詞"	"人"
"助動詞"	"だ"
"助動詞"	"た"
"記号"	"。"
"副詞"	"もっとも"
"動詞"	"驚く"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"は"
"連体詞"	"この"
"形容詞"	"暑い"
"助詞"	"のに"
"名詞"	"フランネル"
"助詞"	"の"
"名詞"	"襯衣"
"助詞"	"を"
"動詞"	"着る"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"いくら"
"助詞"	"か"
"形容詞"	"薄い"
"名詞"	"地"
"助詞"	"に"
"助詞"	"は"
"名詞"	"相違"
"形容詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"暑い"
"助詞"	"に"
"助詞"	"は"
"副詞"	"極"
"動詞"	"く"
"動詞"	"てる"
"記号"	"。"
"名詞"	"文学"
"名詞"	"士"
"助詞"	"だけ"
"助詞"	"に"
"名詞"	"ご苦労"
"名詞"	"千"
"名詞"	"万"
"助動詞"	"だ"
"名詞"	"服装"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"た"
"名詞"	"もん"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"しかも"
"名詞"	"それ"
"助詞"	"が"
"名詞"	"赤シャツ"
"助動詞"	"だ"
"助詞"	"から"
"名詞"	"人"
"助詞"	"を"
"名詞"	"馬鹿"
"助詞"	"に"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"あと"
"助詞"	"から"
"動詞"	"聞く"
"助動詞"	"た"
"連体詞"	"この"
"名詞"	"男"
"助詞"	"は"
"副詞"	"年が年中"
"名詞"	"赤シャツ"
"助詞"	"を"
"動詞"	"着る"
"名詞"	"ん"
"助動詞"	"だ"
"名詞"	"そうだ"
"記号"	"。"
"名詞"	"妙"
"助動詞"	"だ"
"名詞"	"病気"
"助詞"	"が"
"動詞"	"ある"
"助動詞"	"た"
"名詞"	"者"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"当人"
"助詞"	"の"
"名詞"	"説明"
"助詞"	"で"
"助詞"	"は"
"名詞"	"赤"
"助詞"	"は"
"名詞"	"身体"
"助詞"	"に"
"名詞"	"薬"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"から"
"記号"	"、"
"名詞"	"衛生"
"助詞"	"の"
"名詞"	"ため"
"助詞"	"に"
"副詞"	"わざわざ"
"名詞"	"誂"
"名詞"	"ら"
"動詞"	"える"
"名詞"	"ん"
"助動詞"	"だ"
"名詞"	"そう"
"助動詞"	"だ"
"助詞"	"が"
"記号"	"、"
"動詞"	"入る"
"助動詞"	"ぬ"
"名詞"	"心配"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"そん"
"助動詞"	"だ"
"名詞"	"ついで"
"助詞"	"に"
"名詞"	"着物"
"助詞"	"も"
"名詞"	"袴"
"助詞"	"も"
"名詞"	"赤"
"助詞"	"に"
"動詞"	"する"
"助詞"	"ば"
"形容詞"	"いい"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"英語"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"に"
"名詞"	"古賀"
"助詞"	"とか"
"動詞"	"云う"
"名詞"	"大変"
"名詞"	"顔色"
"助詞"	"の"
"接頭詞"	"悪"
"名詞"	"るい"
"名詞"	"男"
"助詞"	"が"
"動詞"	"居る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"大概"
"名詞"	"顔"
"助詞"	"の"
"形容詞"	"蒼い"
"名詞"	"人"
"助詞"	"は"
"動詞"	"瘠せる"
"動詞"	"てる"
"名詞"	"もん"
"助動詞"	"だ"
"助詞"	"が"
"連体詞"	"この"
"名詞"	"男"
"助詞"	"は"
"形容詞"	"蒼い"
"動詞"	"ふくれる"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"昔"
"名詞"	"小学校"
"助詞"	"へ"
"動詞"	"行く"
"名詞"	"時分"
"記号"	"、"
"名詞"	"浅井"
"助詞"	"の"
"名詞"	"民"
"名詞"	"さん"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"子"
"助詞"	"が"
"名詞"	"同級生"
"助詞"	"に"
"動詞"	"ある"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"連体詞"	"この"
"名詞"	"浅井"
"助詞"	"の"
"名詞"	"おやじ"
"助詞"	"が"
"副詞"	"やはり"
"記号"	"、"
"連体詞"	"こんな"
"名詞"	"色つや"
"助動詞"	"だ"
"助動詞"	"た"
"記号"	"。"
"名詞"	"浅井"
"助詞"	"は"
"名詞"	"百姓"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"百姓"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"と"
"連体詞"	"あんな"
"名詞"	"顔"
"助詞"	"に"
"動詞"	"なる"
"助詞"	"か"
"助詞"	"と"
"名詞"	"清"
"助詞"	"に"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"記号"	"、"
"副詞"	"そう"
"接続詞"	"じゃ"
"名詞"	"有馬線"
"記号"	"、"
"連体詞"	"あの"
"名詞"	"人"
"助詞"	"は"
"名詞"	"うらなり"
"助詞"	"の"
"名詞"	"唐茄子"
"助詞"	"ばかり"
"動詞"	"食べる"
"助詞"	"から"
"記号"	"、"
"形容詞"	"蒼い"
"動詞"	"ふくれる"
"名詞"	"ん"
"助動詞"	"です"
"助詞"	"と"
"動詞"	"教える"
"助詞"	"て"
"動詞"	"くれる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"それ"
"名詞"	"以来"
"形容詞"	"蒼い"
"動詞"	"ふくれる"
"助動詞"	"た"
"名詞"	"人"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"ば"
"副詞"	"必ず"
"名詞"	"うらなり"
"助詞"	"の"
"名詞"	"唐茄子"
"助詞"	"を"
"動詞"	"食う"
"助動詞"	"た"
"動詞"	"酬いる"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"思う"
"記号"	"。"
"連体詞"	"この"
"名詞"	"英語"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"も"
"名詞"	"うらなり"
"助詞"	"ばかり"
"動詞"	"食う"
"動詞"	"てる"
"助詞"	"に"
"名詞"	"違い"
"助動詞"	"ない"
"記号"	"。"
"副詞"	"もっとも"
"名詞"	"うらなり"
"助詞"	"と"
"助詞"	"は"
"名詞"	"何"
"助詞"	"の"
"名詞"	"事"
"助詞"	"か"
"名詞"	"今"
"動詞"	"もつ"
"助詞"	"て"
"動詞"	"知る"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"清"
"助詞"	"に"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"は"
"動詞"	"ある"
"助詞"	"が"
"記号"	"、"
"名詞"	"清"
"助詞"	"は"
"動詞"	"笑う"
"助詞"	"て"
"動詞"	"答える"
"助動詞"	"ない"
"助動詞"	"た"
"記号"	"。"
"名詞"	"大方"
"名詞"	"清"
"助詞"	"も"
"動詞"	"知る"
"助動詞"	"ない"
"名詞"	"ん"
"助動詞"	"だ"
"助動詞"	"う"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"おれ"
"助詞"	"と"
"連体詞"	"同じ"
"名詞"	"数学"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"に"
"名詞"	"堀田"
"助詞"	"という"
"名詞"	"の"
"助詞"	"が"
"動詞"	"居る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"これ"
"助詞"	"は"
"形容詞"	"逞しい"
"名詞"	"毬栗"
"名詞"	"坊主"
"助詞"	"で"
"記号"	"、"
"名詞"	"叡山"
"助詞"	"の"
"名詞"	"悪僧"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"べし"
"名詞"	"面構え"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"名詞"	"人"
"助詞"	"が"
"名詞"	"叮寧"
"助詞"	"に"
"名詞"	"辞令"
"助詞"	"を"
"動詞"	"見せる"
"助動詞"	"た"
"動詞"	"見向く"
"助詞"	"も"
"動詞"	"する"
"助動詞"	"ぬ"
"記号"	"、"
"感動詞"	"やあ"
"名詞"	"君"
"助詞"	"が"
"名詞"	"新任"
"助詞"	"の"
"名詞"	"人"
"助詞"	"か"
"記号"	"、"
"副詞"	"ちと"
"名詞"	"遊び"
"助詞"	"に"
"動詞"	"来る"
"動詞"	"給う"
"名詞"	"アハハハ"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"何"
"助詞"	"が"
"名詞"	"アハハハ"
"助動詞"	"だ"
"記号"	"。"
"連体詞"	"そんな"
"名詞"	"礼儀"
"助詞"	"を"
"動詞"	"心得る"
"助動詞"	"ぬ"
"名詞"	"奴"
"助詞"	"の"
"名詞"	"所"
"助詞"	"へ"
"名詞"	"誰"
"助詞"	"が"
"名詞"	"遊び"
"助詞"	"に"
"動詞"	"行く"
"名詞"	"もの"
"助詞"	"か"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"連体詞"	"この"
"名詞"	"時"
"助詞"	"から"
"連体詞"	"この"
"名詞"	"坊主"
"助詞"	"に"
"名詞"	"山嵐"
"助詞"	"という"
"名詞"	"渾名"
"助詞"	"を"
"動詞"	"つける"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"漢学"
"助詞"	"の"
"名詞"	"先生"
"助詞"	"は"
"副詞"	"さすが"
"助詞"	"に"
